Employee No,Employee Name,Gender,Leaving Reason,Previous Employer,Latest  Available Rating,Profit Center,Employee Location,People Group,Employee Category,Supervisor name,Month of termination,Tenure_till_18,Tenure_till_18_in_months,Tenure_till_18_in_years,Age_16_18,Current Status16_18,Is promoted,Total Hours,Total Available Hours,Work Hours,Leave Hours,Training Hours,BD Hours,NC Hours,Utilization%,Utilization Status,Utilization%-Mean
594,Micky Barb,M,Personal,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Serving Notice Period,Myrtie Brana,10,0.5037748892858854,6.045298671430626,1.0,31.0,Resigned,No,1120.0,984.0,701.0,80.0,56.0,0.0,374.0,71.23983739837398,Above Avg,71.23983739837398
595,Bea Vale,M,Personal,Epic Adventure Inc,Unknown,PC - 1,Location 3,Client Service Staff,Serving Notice Period,Jillana Vivi,Unknown,1.8316597876753116,21.979917452103738,2.0,0.0,Active,No,4000.0,3414.75,2574.0,472.0,113.25,0.0,1305.5,74.9919441993384,Above Avg,74.9919441993384
596,Vanna Jill,M,Absconding,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Staff on Probation,Hedi Elna,5,0.0,0.0,0.0,34.0,Resigned,No,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,96.0
597,Anny Kate,M,Career Growth,Unknown,3.0,PC - 3,Location 1,Client Service Staff,Serving Notice Period,Hedi Elna,3,0.8323237301245063,9.987884761494076,1.0,27.0,Resigned,No,1880.0,1798.0,1380.0,56.0,26.0,0.0,703.0,76.7519466073415,Efficient,76.7519466073415
598,Olimpia Euphemia,M,Career Growth,Unknown,3.0,PC - 3,Location 4,Client Service Staff,Awaiting Termination,Hedi Elna,9,1.3333607124034033,16.00032854884084,1.0,29.0,Resigned,No,2800.0,2651.0,1708.5,120.0,29.0,0.0,1097.5,65.91703714948531,Above Avg,65.91703714948531
599,Marne Linn,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Agata Theodosia,Unknown,1.8316597876753116,21.979917452103738,2.0,0.0,Active,Yes,4000.0,3550.5,600.0,392.0,57.5,0.0,2984.5,17.88904134413752,Low,17.88904134413752
600,Jemmy Alexa,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Grata Rochella,Unknown,1.8316597876753116,21.979917452103738,2.0,0.0,Active,No,4000.0,3310.25,2611.0,552.0,137.75,10.0,783.0,78.2649700606326,Efficient,78.2649700606326
601,Anastasie Lindsay,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 4,Client Service Staff,Confirmed Staff,Genvieve Celeste,Unknown,1.8316597876753116,21.979917452103738,2.0,0.0,Active,No,4000.0,3438.5,3418.0,400.0,161.5,0.0,199.0,99.52131251435054,Efficient,99.52131251435054
602,Orelie Domeniga,F,Personal,Epic Adventure Inc,Unknown,PC - 2,Location 7,Client Service Staff,Awaiting Termination,Rosabella Arlina,12,1.585248157046346,19.022977884556152,2.0,27.0,Resigned,No,3392.0,2911.0,3056.3,425.0,56.0,0.0,48.0,105.24465541145312,Over Utilization,105.24465541145312
603,Anthia Emalia,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Margo Opaline,Unknown,1.8316597876753116,21.979917452103738,2.0,0.0,Active,Yes,3960.0,3562.75,2751.0,352.0,45.25,0.0,947.5,76.99491891703988,Efficient,76.99491891703988
604,Tova Collette,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Misti Helena,Unknown,1.8316597876753116,21.979917452103738,2.0,0.0,Active,Yes,3960.0,3448.0,2247.0,424.0,88.0,0.0,1225.0,64.79711928824393,Above Avg,64.79711928824393
605,Darci Arabelle,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Ilsa Marigold,Unknown,1.8316597876753116,21.979917452103738,2.0,0.0,Active,No,3960.0,3496.0,2922.0,416.0,48.0,0.0,597.0,82.88131446240345,Efficient,82.88131446240345
606,Jessalyn Kariotta,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Ilsa Marigold,Unknown,1.8316597876753116,21.979917452103738,2.0,0.0,Active,No,3960.0,3633.0,3024.0,272.0,55.0,0.0,617.0,82.1555702043507,Efficient,82.1555702043507
607,Kaylyn Carlene,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Laetitia Yoshi,Unknown,1.8316597876753116,21.979917452103738,2.0,0.0,Active,No,3960.0,3380.5,3190.0,508.0,71.5,0.0,276.5,93.87378798471784,Efficient,93.87378798471784
608,Tiffie Mariann,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Aimil Latisha,Unknown,1.8316597876753116,21.979917452103738,2.0,0.0,Active,No,3960.0,3651.0,3750.0,248.0,61.0,0.0,303.0,102.65789874654236,Over Utilization,102.65789874654236
609,Dorri Harmonie,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Josi Ula,Unknown,1.8316597876753116,21.979917452103738,2.0,0.0,Active,No,3960.0,3541.0,2950.3999999999996,352.0,67.0,396.0,305.0,82.99514799198863,Efficient,82.99514799198863
610,Adda Rachel,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Ilsa Marigold,Unknown,1.8316597876753116,21.979917452103738,2.0,0.0,Active,No,3960.0,3575.5,2714.0,312.0,72.5,0.0,890.5,75.43764439685322,Efficient,75.43764439685322
611,Yevette Analiese,M,Career Growth,Unknown,Unknown,PC - 3,Location 4,Client Service Staff,Serving Notice Period,Hedi Elna,Unknown,1.8316597876753116,21.979917452103738,2.0,0.0,Active,No,3920.0,3342.0,1858.0,532.0,46.0,0.0,1627.0,55.40110323089046,Above Avg,55.40110323089046
612,Ina Katherina,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Sheila Papagena,Unknown,1.8316597876753116,21.979917452103738,2.0,0.0,Active,No,3880.0,3280.0,3278.0,528.0,72.0,0.0,96.0,100.05360205831904,Over Utilization,100.05360205831904
613,Casandra Goldie,M,Career Growth,Bonefete Fun,Unknown,PC - 5,Location 7,Client Service Staff,Serving Notice Period,Orsa Margeaux,8,0.2518874446429427,3.022649335715313,0.0,27.0,Resigned,No,416.0,368.0,235.0,48.0,0.0,0.0,191.0,63.858695652173914,Above Avg,63.858695652173914
614,Bliss Darcy,M,Further Studies,sylible,Unknown,PC - 1,Location 3,Client Service Staff,Serving Notice Period,Jillana Vivi,Unknown,1.8316597876753116,21.979917452103738,2.0,0.0,Active,No,3880.0,2637.5,2319.5,1144.0,98.5,0.0,344.0,87.07806270422492,Efficient,87.07806270422492
615,Dorolisa Tedda,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 4,Client Service Staff,Confirmed Staff,Genvieve Celeste,Unknown,1.8316597876753116,21.979917452103738,2.0,0.0,Active,Yes,3840.0,3559.0,2860.0,184.0,97.0,0.0,1015.0,79.40530575953152,Efficient,79.40530575953152
616,Ester Ardisj,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Cortney Wanids,Unknown,1.8316597876753116,21.979917452103738,2.0,0.0,Active,Yes,3840.0,3319.0,3219.0,408.0,113.0,0.0,731.0,95.64330501787788,Efficient,95.64330501787788
617,Emylee Danna,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 2,Client Service Staff,Confirmed Staff,Marney Anderea,Unknown,1.8316597876753116,21.979917452103738,2.0,0.0,Active,No,3840.0,3488.5,1833.5,264.0,87.5,0.0,1729.0,51.41766163516613,Above Avg,51.41766163516613
618,Maria Aubrey,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 8,Client Service Staff,Confirmed Staff,Em Cacilie,Unknown,1.8316597876753116,21.979917452103738,2.0,0.0,Active,Yes,3840.0,3110.0,2753.5,684.0,46.0,64.0,375.5,88.54545172571554,Efficient,88.54545172571554
619,Meryl Kata,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Marris Gilda,Unknown,1.8316597876753116,21.979917452103738,2.0,0.0,Active,No,3840.0,3402.25,3440.0,352.0,85.75,0.0,70.0,101.16732880603585,Over Utilization,101.16732880603585
620,Marthena Mallorie,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Cody Ashlan,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3800.0,3298.5,3119.0,392.0,109.5,0.0,519.5,94.53540127810973,Efficient,94.53540127810973
621,Louise Allis,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Benedikta Kirbee,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3800.0,3441.5,3629.0,248.0,110.5,0.0,325.5,104.54783064145604,Over Utilization,104.54783064145604
622,Aurilia Ardra,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 4,Client Service Staff,Confirmed Staff,Genvieve Celeste,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3800.0,3216.25,2876.5,494.0,89.75,0.0,661.5,89.90187939547367,Efficient,89.90187939547367
623,Nelia Eartha,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Zaneta Arlette,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3800.0,3311.5,3381.0,392.0,96.5,0.0,160.5,102.18860722293218,Over Utilization,102.18860722293218
624,Roanna Maribel,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Cortney Wanids,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,Yes,3800.0,3315.5,2938.0,424.0,60.5,0.0,717.5,87.70304124869817,Efficient,87.70304124869817
625,Anselma Kellen,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Orsa Margeaux,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,Yes,3800.0,3458.5,3470.0,288.0,53.5,0.0,232.0,100.11390696855722,Over Utilization,100.11390696855722
626,Irita Allsun,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Gert Editha,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,Yes,3800.0,3305.5,3244.0,416.0,78.5,0.0,241.5,97.7263774889633,Efficient,97.7263774889633
627,Grete Devonne,M,Personal,sylible,3.0,PC - 3,Location 4,Client Service Staff,Awaiting Termination,Genvieve Celeste,7,1.084211174767449,13.010534097209387,1.0,24.0,Resigned,No,2320.0,2000.0,2064.0,216.0,104.0,0.0,343.5,102.25988700564972,Over Utilization,102.25988700564972
628,Hazel Carolina,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 2,Client Service Staff,Confirmed Staff,Prudi Delly,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3800.0,3325.0,2474.0,340.0,135.0,0.0,1216.5,74.47377048262797,Above Avg,74.47377048262797
629,Erena Malanie,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 5,Client Service Staff,Confirmed Staff,Deloris Gabriella,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3800.0,3265.5,2496.0,424.0,110.5,0.0,1194.5,74.51542062157925,Above Avg,74.51542062157925
630,Cosetta Daloris,F,Personal,sylible,3.0,PC - 2,Location 7,Client Service Staff,Awaiting Termination,Aimil Latisha,6,0.9993360575508052,11.992032690609662,1.0,22.0,Resigned,No,2080.0,1644.0,1324.0,316.0,120.0,0.0,602.0,80.08489109929685,Efficient,80.08489109929685
631,Ailyn Marie-Ann,F,Personal,sylible,3.0,PC - 2,Location 7,Client Service Staff,Awaiting Termination,Aimil Latisha,6,0.9993360575508052,11.992032690609662,1.0,22.0,Resigned,No,2080.0,1767.0,1632.0,208.0,105.0,0.0,644.5,73.91672425708362,Above Avg,73.91672425708362
632,Maud Walliw,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Tatiana Roxanna,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3800.0,3212.0,2706.0,460.0,128.0,0.0,994.0,83.04424144048923,Efficient,83.04424144048923
633,Zsa Zsa Flo,M,Personal,sylible,3.0,PC - 2,Location 7,Client Service Staff,Awaiting Termination,Tatiana Roxanna,9,1.251223502193748,15.014682026324975,1.0,21.0,Resigned,No,2720.0,2354.0,2026.0,232.0,134.0,0.0,434.0,86.19041806530362,Efficient,86.19041806530362
634,Aliza Renee,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Tatiana Roxanna,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3800.0,3042.1899999999996,2401.0,632.0,125.81,8.0,882.85,78.14709808429484,Efficient,78.14709808429484
635,Hendrika Nettle,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Naomi Rebekah,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3800.0,3424.0,3368.0,280.0,96.0,0.0,102.0,98.31855228622737,Efficient,98.31855228622737
636,Susi Zarla,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Kati Rosalyn,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3800.0,3255.5,2176.0,436.0,108.5,0.0,1242.0,64.5451781501571,Above Avg,64.5451781501571
637,Rhetta Beverlie,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Kati Rosalyn,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3800.0,3196.0,1596.0,500.0,104.0,0.0,1740.5,49.53382785704677,Below Avg,49.53382785704677
638,Joellen Brigida,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Grata Rochella,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3800.0,3314.5,2444.0,364.0,121.5,0.0,922.5,71.25214554396386,Above Avg,71.25214554396386
639,Kinna Dotty,M,Personal,sylible,Unknown,PC - 2,Location 7,Client Service Staff,Serving Notice Period,Tallulah Kassia,11,0.41889977206924167,5.0267972648309005,0.0,22.0,Resigned,No,864.0,704.5,464.0,64.0,95.5,0.0,377.5,65.86231369765791,Above Avg,65.86231369765791
640,Amitie Judith,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Tallulah Kassia,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3800.0,3314.0,2644.0,364.0,122.0,0.0,825.5,77.99596219550072,Efficient,77.99596219550072
641,Prisca Bobinette,F,Further Studies,sylible,3.0,PC - 1,Location 3,Client Service Staff,Awaiting Termination,Blondy Tatiania,5,0.9171988473411501,11.006386168093801,1.0,23.0,Resigned,No,2008.0,1762.0,1392.0,160.0,86.0,0.0,434.0,52.75689223057644,Above Avg,52.75689223057644
642,Zulema Ainslee,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Dannie Clotilda,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3800.0,3402.0,2658.5,280.0,118.0,0.0,775.5,74.52116097685717,Above Avg,74.52116097685717
643,Dorothy Annice,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Dannie Clotilda,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3800.0,3336.5,3439.0,344.0,119.5,0.0,841.5,99.15663677688318,Efficient,99.15663677688318
644,Liza Lynna,M,Personal,sylible,Unknown,PC - 2,Location 7,Client Service Staff,Serving Notice Period,Laetitia Yoshi,11,0.41889977206924167,5.0267972648309005,0.0,22.0,Resigned,No,856.0,664.0,0.0,84.0,108.0,4.0,724.0,0.0,Low,96.0
645,Willa Naoma,F,Personal,sylible,3.0,PC - 2,Location 7,Client Service Staff,Awaiting Termination,Terza Gwyn,5,0.9171988473411501,11.006386168093801,1.0,23.0,Resigned,No,2032.0,1701.0,742.5,212.0,119.0,0.0,1086.5,45.62325670866596,Below Avg,45.62325670866596
646,Edie Pierette,M,Further Studies,sylible,Unknown,PC - 2,Location 7,Client Service Staff,Awaiting Termination,Rosabella Arlina,5,1.9165349048919553,22.998418858703463,2.0,24.0,Resigned,No,3800.0,3444.0,2306.0,288.0,68.0,4.0,1207.0,63.47642697083409,Above Avg,63.47642697083409
647,Basia Krissy,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 9,Client Service Staff,Confirmed Staff,Jolyn Briney,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3800.0,3227.0,3236.0,416.0,157.0,0.0,140.0,100.31904606645419,Over Utilization,100.31904606645419
648,Helenka Gwenny,F,Personal,sylible,Unknown,PC - 2,Location 9,Client Service Staff,Serving Notice Period,Orelee Hanna,9,0.2518874446429427,3.022649335715313,0.0,21.0,Resigned,No,616.0,535.0,112.0,8.0,73.0,0.0,447.0,20.93457943925234,Low,20.93457943925234
649,Angelika Lynett,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 2,Client Service Staff,Confirmed Staff,Moira Vivien,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3800.0,3274.5,2464.5,408.0,117.5,0.0,1181.5,75.66950411483899,Efficient,75.66950411483899
650,Jacqui Willie,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 2,Client Service Staff,Confirmed Staff,Prudi Delly,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3800.0,3228.0,2811.0,408.0,164.0,0.0,1360.0,87.7368228894428,Efficient,87.7368228894428
651,Charla Anthea,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Emelda Jackqueline,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3800.0,3341.25,2896.0,360.0,98.75,0.0,562.5,86.57279332509633,Efficient,86.57279332509633
652,Rhea Roshelle,M,Personal,sylible,3.0,PC - 1,Location 3,Client Service Staff,Serving Notice Period,Sybil Georgianna,3,0.7501865199148511,9.002238238978213,1.0,21.0,Resigned,No,1680.0,1444.5,810.0,184.0,51.5,0.0,642.5,56.074766355140184,Above Avg,56.074766355140184
653,Chrissie Ivie,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Trudey Lissi,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3800.0,3391.5,1720.0,336.0,72.5,0.0,1692.0,49.05042016806723,Below Avg,49.05042016806723
654,Carlen Donnamarie,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Sheila Papagena,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3800.0,3169.0,2426.0,496.0,135.0,0.0,834.0,75.15301985404507,Efficient,75.15301985404507
655,Abigail Amabel,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Iormina Lucienne,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,Yes,3760.0,3479.0,1728.5,248.0,33.0,0.0,1776.0,88.55020491803278,Efficient,88.55020491803278
656,Maddi Lyndsey,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Dionne Ronna,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3760.0,3237.0,2868.0,424.0,99.0,0.0,569.5,87.33456324697201,Efficient,87.33456324697201
657,Sayre Nadya,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Sybil Georgianna,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,Yes,3760.0,3230.0,2959.4,452.0,78.0,16.0,625.6,89.58139560152989,Efficient,89.58139560152989
658,Charmain Ashlie,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Kalindi Toma,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3760.0,3368.0,2960.0,344.0,48.0,0.0,467.0,86.59403760799182,Efficient,86.59403760799182
659,Julianne Julina,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Morgen Hailee,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3760.0,3305.0,3100.0,424.0,31.0,0.0,365.0,93.58689600435932,Efficient,93.58689600435932
660,Leandra Filide,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Jillian Lorelei,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3760.0,3327.0,2910.0,352.0,81.0,0.0,532.0,86.32254226393783,Efficient,86.32254226393783
661,Mollee Pearle,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Rosabella Arlina,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3760.0,3094.5,2018.0,605.0,60.5,108.0,1115.0,62.34344666096389,Above Avg,62.34344666096389
662,Alvera Gerianna,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Rosalynd Catina,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3720.0,3174.4,3001.0,448.0,97.6,0.0,344.4,93.58638829003796,Efficient,93.58638829003796
663,Ranique Aundrea,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Ezmeralda Nisse,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3720.0,3239.0,3042.0,400.0,81.0,0.0,415.0,93.36442976564223,Efficient,93.36442976564223
664,Brandi Priscella,M,Career Growth,Moxie Marketing,Unknown,PC - 1,Location 3,Client Service Staff,Serving Notice Period,Vinni Calypso,11,0.41889977206924167,5.0267972648309005,0.0,26.0,Resigned,No,848.0,736.0,232.0,64.0,48.0,0.0,552.0,31.521739130434785,Below Avg,31.521739130434785
665,Paula Bridie,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Josey Rorie,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,Yes,3720.0,3181.0,2400.0,464.0,75.0,0.0,825.0,72.77065634193242,Above Avg,72.77065634193242
666,Adore Ellen,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Landon Browning,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3720.0,3321.0,3250.0,350.0,49.0,0.0,239.0,97.92456921507642,Efficient,97.92456921507642
667,Evangelina Emelita,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Emelda Jackqueline,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3720.0,3303.0,2743.5,336.0,81.0,0.0,568.0,82.77316976435395,Efficient,82.77316976435395
668,Lauryn Claretta,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Ophelie Jyoti,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3720.0,3126.9,3365.5,416.0,177.1,0.0,123.5,106.36581610125248,Over Utilization,106.36581610125248
669,Bibi Mallory,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Landon Browning,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3720.0,3233.5,2904.5,360.0,126.5,0.0,446.0,88.42788903472913,Efficient,88.42788903472913
670,Tanya Ilysa,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Josey Rorie,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,No,3720.0,3205.0,2779.0,432.0,83.0,0.0,917.0,83.23158902452157,Efficient,83.23158902452157
671,Lenora Nydia,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 9,Client Service Staff,Confirmed Staff,Annnora Gabrielle,Unknown,1.7495225774656564,20.994270929587877,2.0,0.0,Active,Yes,3680.0,3341.0,538.5,240.0,99.0,2702.0,120.0,15.65142577639877,Low,15.65142577639877
672,Hayley Maurizia,M,Further Studies,sylible,3.0,PC - 3,Location 1,Client Service Staff,Awaiting Termination,Dottie Bidget,9,1.1663483849771044,13.996180619725251,1.0,22.0,Resigned,No,2520.0,2143.5,770.0,264.0,112.5,561.0,245.0,38.493523782355616,Below Avg,38.493523782355616
673,Lorelle Willi,F,Personal,janu,3.0,PC - 2,Location 7,Client Service Staff,Awaiting Termination,Dorotea Inger,11,1.3333607124034033,16.00032854884084,1.0,27.0,Resigned,No,2800.0,2474.5,2255.0,244.0,81.5,0.0,331.0,91.35708573440796,Efficient,91.35708573440796
674,Gwenneth Edee,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Jillian Lorelei,Unknown,1.6646474602490127,19.975769522988152,2.0,0.0,Active,No,3640.0,3325.0,2910.0,280.0,35.0,0.0,531.0,85.38404507710558,Efficient,85.38404507710558
675,Josy Latrina,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Josey Rorie,Unknown,1.6646474602490127,19.975769522988152,2.0,0.0,Active,No,3640.0,3284.0,2724.0,280.0,76.0,0.0,689.0,80.40619414146573,Efficient,80.40619414146573
676,Lenka Cilka,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Nerissa Jackquelin,Unknown,1.6646474602490127,19.975769522988152,2.0,0.0,Active,No,3640.0,3203.5,2350.4000000000024,336.0,100.5,0.0,1194.100000000001,69.80187124725708,Above Avg,69.80187124725708
677,Randa Sonny,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Hedi Elna,Unknown,1.6646474602490127,19.975769522988152,2.0,0.0,Active,No,3640.0,3356.0,2288.0,272.0,12.0,0.0,1196.0,66.563301844458,Above Avg,66.563301844458
678,Cathee Ruthann,M,Career Growth,Unknown,Unknown,PC - 3,Location 4,Client Service Staff,Serving Notice Period,Hedi Elna,3,0.6653114026982073,7.983736832378488,1.0,30.0,Resigned,No,1432.0,1368.0,72.0,48.0,16.0,0.0,1272.0,5.263157894736842,Low,5.263157894736842
679,Melisent Twyla,F,Further Studies,sylible,Unknown,PC - 3,Location 1,Client Service Staff,Serving Notice Period,Misti Helena,12,0.41889977206924167,5.0267972648309005,0.0,22.0,Resigned,No,880.0,760.0,753.8499999999999,56.0,64.0,0.0,64.0,99.19078947368419,Efficient,99.19078947368419
680,Clarette Marijo,M,Absconding,sylible,Unknown,PC - 7,Location 6,Client Service Staff,Serving Notice Period,Bernice Andrea,9,0.16701232742629896,2.0041479291155877,0.0,22.0,Resigned,No,432.0,366.5,0.0,32.0,33.5,0.0,334.5,0.0,Low,96.0
681,Xena Hedwig,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Nancee Deirdre,Unknown,1.6646474602490127,19.975769522988152,2.0,0.0,Active,Yes,3640.0,3222.5,2875.5,372.0,45.5,0.0,403.0,87.86039039934612,Efficient,87.86039039934612
682,Ilyssa Muriel,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Serving Notice Period,Chris Ricky,Unknown,1.6646474602490127,19.975769522988152,2.0,0.0,Active,No,3640.0,2939.84,2670.0,599.0,101.16,0.0,1019.84,87.62498444980237,Efficient,87.62498444980237
